Kỳ,Thứ,Ngày,Giờ,Bộ Số,ĐB,Hiển thị,Loại,Link cập nhật,Ngày cập nhật
700,Thứ 7,14/03/2026,,,,Đặc biệt: 325 356 || Giải nhất: 746 795 535 512 || Giải nhì: 851 807 346 884 828 502 || Giải ba: 630 136 084 694 682 823 895 099,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-14-03-2026.html,14/03/2026
699,Thứ 5,12/03/2026,,,,Đặc biệt: 367 138 || Giải nhất: 207 468 135 215 || Giải nhì: 855 549 253 440 374 448 || Giải ba: 307 436 726 223 087 513 666 517,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-12-03-2026.html,12/03/2026
698,Thứ 3,10/03/2026,,,,Đặc biệt: 776 308 || Giải nhất: 299 600 808 865 || Giải nhì: 851 914 857 039 368 161 || Giải ba: 496 879 543 950 790 737 493 217,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-10-03-2026.html,10/03/2026
697,Thứ 7,07/03/2026,,,,Đặc biệt: 259 226 || Giải nhất: 653 043 978 002 || Giải nhì: 912 347 720 904 408 871 || Giải ba: 801 842 223 545 883 715 119 530,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-07-03-2026.html,07/03/2026
696,Thứ 5,05/03/2026,,,,Đặc biệt: 945 123 || Giải nhất: 458 644 743 636 || Giải nhì: 648 296 006 709 677 553 || Giải ba: 464 824 062 750 282 385 212 249,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-05-03-2026.html,05/03/2026
695,Thứ 3,03/03/2026,,,,Đặc biệt: 600 907 || Giải nhất: 832 814 061 173 || Giải nhì: 729 545 899 073 998 785 || Giải ba: 908 613 401 734 834 296 246 998,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-03-03-2026.html,03/03/2026
694,Thứ 7,28/02/2026,,,,Đặc biệt: 734 446 || Giải nhất: 439 391 624 192 || Giải nhì: 621 923 713 115 766 599 || Giải ba: 428 798 154 089 849 198 555 963,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-28-02-2026.html,28/02/2026
693,Thứ 5,26/02/2026,,,,Đặc biệt: 535 693 || Giải nhất: 874 365 316 851 || Giải nhì: 924 428 285 238 780 955 || Giải ba: 146 603 222 307 295 328 599 741,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-26-02-2026.html,26/02/2026
692,Thứ 3,24/02/2026,,,,Đặc biệt: 577 323 || Giải nhất: 086 187 212 031 || Giải nhì: 550 491 888 845 109 725 || Giải ba: 738 037 681 131 157 102 743 724,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-24-02-2026.html,24/02/2026
691,Thứ 7,21/02/2026,,,,Đặc biệt: 995 287 || Giải nhất: 615 412 166 798 || Giải nhì: 667 215 814 781 173 537 || Giải ba: 684 480 499 358 048 037 641 105,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-21-02-2026.html,21/02/2026
690,Thứ 5,19/02/2026,,,,Đặc biệt: 909 185 || Giải nhất: 186 315 766 180 || Giải nhì: 541 634 125 266 970 187 || Giải ba: 418 659 840 462 630 507 829 808,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-19-02-2026.html,19/02/2026
689,Thứ 7,14/02/2026,,,,Đặc biệt: 555 461 || Giải nhất: 101 240 634 963 || Giải nhì: 250 444 050 152 156 702 || Giải ba: 005 963 898 369 600 012 207 318,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-14-02-2026.html,14/02/2026
688,Thứ 5,12/02/2026,,,,Đặc biệt: 335 852 || Giải nhất: 022 154 789 597 || Giải nhì: 230 326 786 337 352 056 || Giải ba: 670 558 833 939 460 334 116 725,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-17-02-2026.html,17/02/2026
687,Thứ 3,10/02/2026,,,,Đặc biệt: 813 247 || Giải nhất: 742 592 400 687 || Giải nhì: 041 601 132 734 796 571 || Giải ba: 035 495 119 107 886 796 751 371,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-17-02-2026.html,17/02/2026
686,Thứ 7,07/02/2026,,,,Đặc biệt: 161 855 || Giải nhất: 435 764 214 039 || Giải nhì: 907 746 060 697 297 784 || Giải ba: 863 842 139 552 458 655 441 699,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-17-02-2026.html,17/02/2026
685,Thứ 5,05/02/2026,,,,Đặc biệt: 157 958 || Giải nhất: 096 739 316 868 || Giải nhì: 788 962 623 113 712 201 || Giải ba: 162 637 206 260 431 653 474 969,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-05-02-2026.html,05/02/2026
684,Thứ 3,03/02/2026,,,,Đặc biệt: 735 401 || Giải nhất: 581 776 314 534 || Giải nhì: 242 161 597 716 292 826 || Giải ba: 747 363 435 435 768 658 869 211,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-03-02-2026.html,03/02/2026
683,Thứ 7,31/01/2026,,,,Đặc biệt: 901 590 || Giải nhất: 926 213 838 219 || Giải nhì: 937 744 062 375 718 651 || Giải ba: 281 743 993 724 063 896 111 065,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-31-01-2026.html,31/01/2026
682,Thứ 5,29/01/2026,,,,Đặc biệt: 720 469 || Giải nhất: 083 799 700 498 || Giải nhì: 787 849 122 458 211 328 || Giải ba: 450 489 321 125 423 568 124 804,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-29-01-2026.html,29/01/2026
681,Thứ 3,27/01/2026,,,,Đặc biệt: 476 095 || Giải nhất: 381 140 583 403 || Giải nhì: 142 016 246 072 223 370 || Giải ba: 057 217 454 146 315 187 037 826,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-27-01-2026.html,27/01/2026
680,Thứ 7,24/01/2026,,,,Đặc biệt: 746 888 || Giải nhất: 209 104 313 142 || Giải nhì: 440 551 347 726 220 289 || Giải ba: 699 033 191 564 233 005 643 751,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-24-01-2026.html,24/01/2026
679,Thứ 5,22/01/2026,,,,Đặc biệt: 973 168 || Giải nhất: 533 763 839 577 || Giải nhì: 339 010 755 382 502 413 || Giải ba: 868 060 011 385 174 275 865 302,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-22-01-2026.html,22/01/2026
678,Thứ 3,20/01/2026,,,,Đặc biệt: 488 601 || Giải nhất: 740 289 503 913 || Giải nhì: 273 426 194 253 040 725 || Giải ba: 369 327 671 081 084 828 523 704,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-20-01-2026.html,20/01/2026
677,Thứ 7,17/01/2026,,,,Đặc biệt: 235 479 || Giải nhất: 761 467 138 079 || Giải nhì: 762 734 446 404 234 192 || Giải ba: 300 897 032 279 115 871 981 769,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-17-01-2026.html,17/01/2026
676,Thứ 5,15/01/2026,,,,Đặc biệt: 388 370 || Giải nhất: 052 992 685 586 || Giải nhì: 045 570 855 618 181 236 || Giải ba: 500 021 667 849 813 382 775 846,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-15-01-2026.html,15/01/2026
675,Thứ 3,13/01/2026,,,,Đặc biệt: 269 976 || Giải nhất: 212 045 166 886 || Giải nhì: 175 251 054 167 511 656 || Giải ba: 550 617 031 990 417 434 216 314,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-13-01-2026.html,13/01/2026
674,Thứ 7,10/01/2026,,,,Đặc biệt: 700 992 || Giải nhất: 979 945 716 026 || Giải nhì: 833 938 133 237 377 863 || Giải ba: 674 795 548 117 506 517 562 835,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-10-01-2026.html,10/01/2026
673,Thứ 5,08/01/2026,,,,Đặc biệt: 770 703 || Giải nhất: 262 546 240 781 || Giải nhì: 638 115 515 173 468 449 || Giải ba: 401 776 689 713 405 245 370 111,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-08-01-2026.html,08/01/2026
672,Thứ 3,06/01/2026,,,,Đặc biệt: 059 919 || Giải nhất: 866 314 088 357 || Giải nhì: 807 268 201 344 006 217 || Giải ba: 924 282 356 166 711 479 936 458,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-06-01-2026.html,06/01/2026
671,Thứ 7,03/01/2026,,,,Đặc biệt: 271 150 || Giải nhất: 194 564 023 654 || Giải nhì: 807 240 873 075 824 517 || Giải ba: 186 647 726 579 198 594 874 045,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-03-01-2026.html,03/01/2026
670,Thứ 5,01/01/2026,,,,Đặc biệt: 218 552 || Giải nhất: 686 334 453 090 || Giải nhì: 704 874 436 499 086 766 || Giải ba: 411 385 766 407 076 420 206 639,3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-01-01-2026.html,01/01/2026
669,Thứ 3,30/12/2025,,,,Đặc biệt: 481 246 || Giải nhất: 298 176 025 143 || Giải nhì: 929 253 672 015 227 278 || Giải ba: 296 333 150 960 891 664 527 879,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-30-12-2025.html,30/12/2025
668,Thứ 7,27/12/2025,,,,Đặc biệt: 245 086 || Giải nhất: 973 069 495 916 || Giải nhì: 343 457 358 735 442 661 || Giải ba: 232 205 830 654 130 459 198 796,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-27-12-2025.html,27/12/2025
667,Thứ 5,25/12/2025,,,,Đặc biệt: 860 573 || Giải nhất: 776 536 968 156 || Giải nhì: 852 281 079 355 916 332 || Giải ba: 108 517 504 674 041 240 273 599,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-25-12-2025.html,25/12/2025
666,Thứ 3,23/12/2025,,,,Đặc biệt: 108 555 || Giải nhất: 235 798 113 684 || Giải nhì: 315 951 355 647 970 601 || Giải ba: 412 423 833 387 102 984 679 292,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-23-12-2025.html,23/12/2025
665,Thứ 7,20/12/2025,,,,Đặc biệt: 038 097 || Giải nhất: 279 615 188 169 || Giải nhì: 926 624 934 623 804 214 || Giải ba: 370 238 670 638 937 267 732 365,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-20-12-2025.html,20/12/2025
664,Thứ 5,18/12/2025,,,,Đặc biệt: 254 481 || Giải nhất: 317 068 948 674 || Giải nhì: 093 366 984 687 353 980 || Giải ba: 067 390 026 617 597 578 905 816,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-18-12-2025.html,18/12/2025
663,Thứ 3,16/12/2025,,,,Đặc biệt: 894 912 || Giải nhất: 630 257 428 743 || Giải nhì: 908 993 149 925 130 170 || Giải ba: 073 932 759 068 459 790 112 934,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-16-12-2025.html,16/12/2025
662,Thứ 7,13/12/2025,,,,Đặc biệt: 226 173 || Giải nhất: 005 922 613 821 || Giải nhì: 186 420 341 912 753 847 || Giải ba: 668 560 401 167 811 989 765 068,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-13-12-2025.html,13/12/2025
661,Thứ 5,11/12/2025,,,,Đặc biệt: 637 377 || Giải nhất: 159 247 462 701 || Giải nhì: 587 262 795 642 949 271 || Giải ba: 158 650 366 420 597 595 263 539,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-11-12-2025.html,11/12/2025
660,Thứ 3,09/12/2025,,,,Đặc biệt: 823 071 || Giải nhất: 935 943 508 824 || Giải nhì: 217 194 392 386 868 637 || Giải ba: 801 346 710 376 579 732 098 000,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-09-12-2025.html,09/12/2025
659,Thứ 7,06/12/2025,,,,Đặc biệt: 249 225 || Giải nhất: 080 217 572 691 || Giải nhì: 176 830 539 381 269 688 || Giải ba: 721 609 331 749 654 138 018 671,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-06-12-2025.html,06/12/2025
658,Thứ 5,04/12/2025,,,,Đặc biệt: 535 134 || Giải nhất: 911 435 000 768 || Giải nhì: 361 708 712 240 373 332 || Giải ba: 814 299 726 839 192 788 920 862,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-04-12-2025.html,04/12/2025
657,Thứ 3,02/12/2025,,,,Đặc biệt: 687 644 || Giải nhất: 440 518 488 314 || Giải nhì: 320 448 575 962 195 712 || Giải ba: 264 533 126 891 776 356 451 629,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-02-12-2025.html,02/12/2025
656,Thứ 7,29/11/2025,,,,Đặc biệt: 512 848 || Giải nhất: 911 333 959 288 || Giải nhì: 438 212 603 605 120 724 || Giải ba: 794 691 348 813 917 466 216 344,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-29-11-2025.html,29/11/2025
655,Thứ 5,27/11/2025,,,,Đặc biệt: 345 390 || Giải nhất: 530 899 629 381 || Giải nhì: 808 481 113 328 716 982 || Giải ba: 138 618 053 917 744 934 291 766,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-27-11-2025.html,27/11/2025
654,Thứ 3,25/11/2025,,,,Đặc biệt: 333 083 || Giải nhất: 239 151 545 196 || Giải nhì: 834 406 487 427 326 689 || Giải ba: 544 066 281 548 175 376 278 087,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-25-11-2025.html,25/11/2025
653,Thứ 7,22/11/2025,,,,Đặc biệt: 523 561 || Giải nhất: 648 670 247 246 || Giải nhì: 378 967 850 696 520 570 || Giải ba: 851 069 741 459 721 914 610 446,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-22-11-2025.html,22/11/2025
652,Thứ 5,20/11/2025,,,,Đặc biệt: 669 101 || Giải nhất: 059 448 772 073 || Giải nhì: 466 456 303 977 112 192 || Giải ba: 673 871 007 507 523 277 675 325,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-20-11-2025.html,20/11/2025
651,Thứ 3,18/11/2025,,,,Đặc biệt: 661 459 || Giải nhất: 836 322 203 119 || Giải nhì: 762 558 272 719 902 923 || Giải ba: 672 411 891 121 619 934 016 831,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-18-11-2025.html,18/11/2025
650,Thứ 7,15/11/2025,,,,Đặc biệt: 939 975 || Giải nhất: 383 694 818 157 || Giải nhì: 752 319 439 190 145 631 || Giải ba: 561 912 004 769 358 547 467 754,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-15-11-2025.html,15/11/2025
649,Thứ 5,13/11/2025,,,,Đặc biệt: 476 754 || Giải nhất: 207 430 699 206 || Giải nhì: 973 136 982 759 710 923 || Giải ba: 795 381 087 102 313 837 226 538,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-13-11-2025.html,13/11/2025
648,Thứ 3,11/11/2025,,,,Đặc biệt: 500 707 || Giải nhất: 223 585 984 126 || Giải nhì: 678 391 290 816 787 480 || Giải ba: 271 671 865 854 436 056 991 850,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-11-11-2025.html,11/11/2025
647,Thứ 7,08/11/2025,,,,Đặc biệt: 417 859 || Giải nhất: 332 165 308 556 || Giải nhì: 805 674 019 142 356 817 || Giải ba: 121 785 744 415 442 697 696 218,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-08-11-2025.html,08/11/2025
646,Thứ 5,06/11/2025,,,,Đặc biệt: 597 426 || Giải nhất: 470 488 673 131 || Giải nhì: 317 875 829 100 221 881 || Giải ba: 026 248 284 528 680 794 856 011,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-06-11-2025.html,06/11/2025
645,Thứ 3,04/11/2025,,,,Đặc biệt: 876 393 || Giải nhất: 011 217 243 168 || Giải nhì: 388 557 438 391 905 117 || Giải ba: 069 574 853 964 101 152 250 768,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-04-11-2025.html,04/11/2025
644,Thứ 7,01/11/2025,,,,Đặc biệt: 634 985 || Giải nhất: 496 621 387 399 || Giải nhì: 492 249 256 069 819 462 || Giải ba: 016 921 729 609 607 722 180 363,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-01-11-2025.html,01/11/2025
643,Thứ 5,30/10/2025,,,,Đặc biệt: 970 845 || Giải nhất: 704 738 377 792 || Giải nhì: 799 410 730 840 316 228 || Giải ba: 589 748 798 557 966 604 935 825,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-30-10-2025.html,30/10/2025
642,Thứ 3,28/10/2025,,,,Đặc biệt: 236 407 || Giải nhất: 523 972 396 093 || Giải nhì: 471 399 247 489 987 249 || Giải ba: 189 071 954 807 998 062 869 294,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-28-10-2025.html,28/10/2025
641,Thứ 7,25/10/2025,,,,Đặc biệt: 189 697 || Giải nhất: 804 846 071 607 || Giải nhì: 880 045 372 720 081 273 || Giải ba: 486 445 758 346 250 581 705 692,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-25-10-2025.html,25/10/2025
640,Thứ 5,23/10/2025,,,,Đặc biệt: 762 364 || Giải nhất: 932 740 896 394 || Giải nhì: 804 077 262 690 538 965 || Giải ba: 484 272 304 784 631 474 544 494,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-23-10-2025.html,23/10/2025
639,Thứ 3,21/10/2025,,,,Đặc biệt: 631 009 || Giải nhất: 674 261 360 968 || Giải nhì: 678 548 264 876 310 538 || Giải ba: 456 847 262 776 720 585 985 969,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-21-10-2025.html,21/10/2025
638,Thứ 7,18/10/2025,,,,Đặc biệt: 063 615 || Giải nhất: 255 181 364 408 || Giải nhì: 772 578 353 710 796 618 || Giải ba: 081 217 915 518 895 184 802 956,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-18-10-2025.html,18/10/2025
637,Thứ 5,16/10/2025,,,,Đặc biệt: 207 504 || Giải nhất: 352 991 918 176 || Giải nhì: 952 504 805 120 045 866 || Giải ba: 886 160 849 736 478 007 511 731,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-16-10-2025.html,16/10/2025
636,Thứ 3,14/10/2025,,,,Đặc biệt: 834 491 || Giải nhất: 103 331 493 008 || Giải nhì: 002 786 556 166 152 939 || Giải ba: 205 666 872 115 170 391 818 719,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-14-10-2025.html,14/10/2025
635,Thứ 7,11/10/2025,,,,Đặc biệt: 730 471 || Giải nhất: 118 371 759 936 || Giải nhì: 932 855 400 738 636 024 || Giải ba: 064 422 532 442 386 763 894 149,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-11-10-2025.html,11/10/2025
634,Thứ 5,09/10/2025,,,,Đặc biệt: 017 566 || Giải nhất: 180 993 281 279 || Giải nhì: 281 104 879 532 737 381 || Giải ba: 981 795 024 712 904 248 981 502,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-09-10-2025.html,09/10/2025
633,Thứ 3,07/10/2025,,,,Đặc biệt: 408 452 || Giải nhất: 462 949 134 421 || Giải nhì: 269 916 577 427 686 301 || Giải ba: 314 375 513 386 416 867 072 307,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-07-10-2025.html,07/10/2025
632,Thứ 7,04/10/2025,,,,Đặc biệt: 025 802 || Giải nhất: 966 665 911 167 || Giải nhì: 511 136 365 591 149 374 || Giải ba: 581 395 881 370 270 371 745 993,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-04-10-2025.html,04/10/2025
631,Thứ 5,02/10/2025,,,,Đặc biệt: 342 341 || Giải nhất: 672 120 242 122 || Giải nhì: 256 896 180 686 542 536 || Giải ba: 578 089 766 639 507 804 990 042,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-02-10-2025.html,02/10/2025
630,Thứ 3,30/09/2025,,,,Đặc biệt: 714 339 || Giải nhất: 109 934 451 476 || Giải nhì: 440 651 045 221 081 163 || Giải ba: 859 183 018 246 403 346 588 628,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-30-09-2025.html,30/09/2025
629,Thứ 7,27/09/2025,,,,Đặc biệt: 168 325 || Giải nhất: 008 454 501 023 || Giải nhì: 885 299 509 920 397 573 || Giải ba: 220 070 221 354 083 766 238 093,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-27-09-2025.html,27/09/2025
628,Thứ 5,25/09/2025,,,,Đặc biệt: 921 906 || Giải nhất: 150 344 250 984 || Giải nhì: 684 637 745 140 055 419 || Giải ba: 824 318 932 960 008 546 485 527,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-25-09-2025.html,25/09/2025
627,Thứ 3,23/09/2025,,,,Đặc biệt: 508 486 || Giải nhất: 009 037 573 639 || Giải nhì: 914 029 529 361 291 660 || Giải ba: 547 734 568 636 067 544 005 859,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-23-09-2025.html,23/09/2025
626,Thứ 7,20/09/2025,,,,Đặc biệt: 451 219 || Giải nhất: 338 400 295 444 || Giải nhì: 112 510 353 196 140 531 || Giải ba: 838 980 716 154 429 869 481 170,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-20-09-2025.html,20/09/2025
625,Thứ 5,18/09/2025,,,,Đặc biệt: 644 242 || Giải nhất: 699 058 447 864 || Giải nhì: 305 268 428 102 605 010 || Giải ba: 526 521 881 771 480 159 060 325,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-18-09-2025.html,18/09/2025
624,Thứ 3,16/09/2025,,,,Đặc biệt: 765 178 || Giải nhất: 257 776 251 486 || Giải nhì: 592 183 215 350 435 535 || Giải ba: 735 236 632 758 529 761 363 452,Max_3D_Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-16-09-2025.html,16/09/2025
