Kỳ,Thứ,Ngày,Giờ,Bộ Số,ĐB,Hiển thị,Loại,Link cập nhật,Ngày cập nhật
1472,Chủ Nhật,15/02/2026,,"4,6,7,20,28,43",,04 06 07 20 28 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-02-2026.html,15/02/2026
1471,Thứ 6,13/02/2026,,"8,12,31,36,42,43",,08 12 31 36 42 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-02-2026.html,13/02/2026
1470,Thứ 4,11/02/2026,,"15,20,35,40,44,45",,15 20 35 40 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-02-2026.html,11/02/2026
1469,Chủ Nhật,08/02/2026,,"6,13,16,20,23,38",,06 13 16 20 23 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-02-2026.html,08/02/2026
1468,Thứ 6,06/02/2026,,"2,7,13,17,42,45",,02 07 13 17 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-02-2026.html,06/02/2026
1467,Thứ 4,04/02/2026,,"2,12,14,17,39,43",,02 12 14 17 39 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-02-2026.html,04/02/2026
1466,Chủ Nhật,01/02/2026,,"1,18,21,23,30,36",,01 18 21 23 30 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-02-2026.html,01/02/2026
1465,Thứ 6,30/01/2026,,"16,17,30,41,42,45",,16 17 30 41 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-01-2026.html,30/01/2026
1464,Thứ 4,28/01/2026,,"4,10,16,19,27,40",,04 10 16 19 27 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-01-2026.html,28/01/2026
1463,Chủ Nhật,25/01/2026,,"2,19,20,24,33,34",,02 19 20 24 33 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-01-2026.html,25/01/2026
1462,Thứ 6,23/01/2026,,"9,15,16,20,22,31",,09 15 16 20 22 31,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-01-2026.html,23/01/2026
1461,Thứ 4,21/01/2026,,"1,18,23,24,29,37",,01 18 23 24 29 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-01-2026.html,21/01/2026
1460,Chủ Nhật,18/01/2026,,"2,5,15,26,39,42",,02 05 15 26 39 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-01-2026.html,18/01/2026
1459,Thứ 6,16/01/2026,,"2,10,21,31,34,40",,02 10 21 31 34 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-01-2026.html,16/01/2026
1458,Thứ 4,14/01/2026,,"1,22,23,28,39,45",,01 22 23 28 39 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-01-2026.html,14/01/2026
1457,Chủ Nhật,11/01/2026,,"8,10,21,25,31,38",,08 10 21 25 31 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-01-2026.html,11/01/2026
1456,Thứ 6,09/01/2026,,"8,9,17,21,36,45",,08 09 17 21 36 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-09-01-2026.html,09/01/2026
1455,Thứ 4,07/01/2026,,"1,5,7,28,31,43",,01 05 07 28 31 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-01-2026.html,07/01/2026
1454,Chủ Nhật,04/01/2026,,"2,12,21,29,35,44",,02 12 21 29 35 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-01-2026.html,04/01/2026
1453,Thứ 6,02/01/2026,,"7,18,22,32,37,38",,07 18 22 32 37 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-02-01-2026.html,02/01/2026
1452,Thứ 4,31/12/2025,,"1,25,35,36,37,45",,01 25 35 36 37 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-12-2025.html,31/12/2025
1451,Chủ Nhật,28/12/2025,,"1,2,7,16,31,37",,01 02 07 16 31 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-12-2025.html,28/12/2025
1450,Thứ 6,26/12/2025,,"4,6,16,25,27,40",,04 06 16 25 27 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-12-2025.html,26/12/2025
1449,Thứ 4,24/12/2025,,"15,19,31,35,43,45",,15 19 31 35 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-12-2025.html,24/12/2025
1448,Chủ Nhật,21/12/2025,,"6,9,12,18,29,43",,06 09 12 18 29 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-12-2025.html,21/12/2025
1447,Thứ 6,19/12/2025,,"1,21,36,42,43,44",,01 21 36 42 43 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-12-2025.html,19/12/2025
1446,Thứ 4,17/12/2025,,"5,14,24,38,41,43",,05 14 24 38 41 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-12-2025.html,17/12/2025
1445,Chủ Nhật,14/12/2025,,"8,11,13,16,28,32",,08 11 13 16 28 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-12-2025.html,14/12/2025
1444,Thứ 6,12/12/2025,,"3,7,13,17,38,44",,03 07 13 17 38 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-12-2025.html,12/12/2025
1443,Thứ 4,10/12/2025,,"7,18,22,29,30,36",,07 18 22 29 30 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-12-2025.html,10/12/2025
1442,Chủ Nhật,07/12/2025,,"1,5,23,28,29,43",,01 05 23 28 29 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-12-2025.html,07/12/2025
1441,Thứ 6,05/12/2025,,"2,19,23,37,42,43",,02 19 23 37 42 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-12-2025.html,05/12/2025
1440,Thứ 4,03/12/2025,,"8,15,20,23,31,34",,08 15 20 23 31 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-12-2025.html,03/12/2025
1439,Chủ Nhật,30/11/2025,,"7,13,26,30,34,42",,07 13 26 30 34 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-11-2025.html,30/11/2025
1438,Thứ 6,28/11/2025,,"2,9,17,23,39,41",,02 09 17 23 39 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-11-2025.html,28/11/2025
1437,Thứ 4,26/11/2025,,"2,8,15,19,30,38",,02 08 15 19 30 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-11-2025.html,26/11/2025
1436,Chủ Nhật,23/11/2025,,"4,12,19,42,43,44",,04 12 19 42 43 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-11-2025.html,23/11/2025
1435,Thứ 6,21/11/2025,,"8,11,18,25,28,35",,08 11 18 25 28 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-11-2025.html,21/11/2025
1434,Thứ 4,19/11/2025,,"9,12,19,30,40,43",,09 12 19 30 40 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-11-2025.html,19/11/2025
1433,Chủ Nhật,16/11/2025,,"15,20,31,33,34,45",,15 20 31 33 34 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-11-2025.html,16/11/2025
1432,Thứ 6,14/11/2025,,"3,10,15,27,41,42",,03 10 15 27 41 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-11-2025.html,14/11/2025
1431,Thứ 4,12/11/2025,,"16,24,29,37,40,44",,16 24 29 37 40 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-11-2025.html,12/11/2025
1430,Chủ Nhật,09/11/2025,,"13,23,27,30,37,43",,13 23 27 30 37 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-09-11-2025.html,09/11/2025
1429,Thứ 6,07/11/2025,,"3,4,20,28,39,42",,03 04 20 28 39 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-11-2025.html,07/11/2025
1428,Thứ 4,05/11/2025,,"2,9,18,25,30,31",,02 09 18 25 30 31,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-11-2025.html,05/11/2025
1427,Chủ Nhật,02/11/2025,,"3,7,12,20,30,44",,03 07 12 20 30 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-02-11-2025.html,02/11/2025
1426,Thứ 6,31/10/2025,,"3,10,31,34,36,43",,03 10 31 34 36 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-10-2025.html,31/10/2025
1425,Thứ 4,29/10/2025,,"7,26,35,39,41,42",,07 26 35 39 41 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-10-2025.html,29/10/2025
1424,Chủ Nhật,26/10/2025,,"18,30,34,42,43,45",,18 30 34 42 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-10-2025.html,26/10/2025
1423,Thứ 6,24/10/2025,,"2,11,24,31,32,38",,02 11 24 31 32 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-10-2025.html,24/10/2025
1422,Thứ 4,22/10/2025,,"5,11,12,24,28,44",,05 11 12 24 28 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-10-2025.html,22/10/2025
1421,Chủ Nhật,19/10/2025,,"16,17,25,26,28,37",,16 17 25 26 28 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-10-2025.html,19/10/2025
1420,Thứ 6,17/10/2025,,"15,17,18,26,31,42",,15 17 18 26 31 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-10-2025.html,17/10/2025
1419,Thứ 4,15/10/2025,,"1,6,18,20,29,40",,01 06 18 20 29 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-10-2025.html,15/10/2025
1418,Chủ Nhật,12/10/2025,,"4,10,16,20,28,34",,04 10 16 20 28 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-10-2025.html,12/10/2025
1417,Thứ 6,10/10/2025,,"4,5,25,34,39,43",,04 05 25 34 39 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-10-2025.html,10/10/2025
1416,Thứ 4,08/10/2025,,"8,10,11,18,23,32",,08 10 11 18 23 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-10-2025.html,08/10/2025
1415,Chủ Nhật,05/10/2025,,"5,14,22,28,32,39",,05 14 22 28 32 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-10-2025.html,05/10/2025
1414,Thứ 6,03/10/2025,,"29,31,32,33,34,35",,29 31 32 33 34 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-10-2025.html,03/10/2025
1413,Thứ 4,01/10/2025,,"3,6,7,19,30,35",,03 06 07 19 30 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-10-2025.html,01/10/2025
1412,Chủ Nhật,28/09/2025,,"8,13,18,26,36,39",,08 13 18 26 36 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-09-2025.html,28/09/2025
1411,Thứ 6,26/09/2025,,"12,17,19,27,28,36",,12 17 19 27 28 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-09-2025.html,26/09/2025
1410,Thứ 4,24/09/2025,,"3,5,17,31,32,40",,03 05 17 31 32 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-09-2025.html,24/09/2025
1409,Chủ Nhật,21/09/2025,,"2,3,6,21,28,38",,02 03 06 21 28 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-09-2025.html,21/09/2025
1408,Thứ 6,19/09/2025,,"4,6,17,18,28,41",,04 06 17 18 28 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-09-2025.html,19/09/2025
1407,Thứ 4,17/09/2025,,"11,23,25,35,38,45",,11 23 25 35 38 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-09-2025.html,17/09/2025
1406,Chủ Nhật,14/09/2025,,"3,6,9,10,30,37",,03 06 09 10 30 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-09-2025.html,14/09/2025
1405,Thứ 6,12/09/2025,,"17,22,24,37,42,43",,17 22 24 37 42 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-09-2025.html,12/09/2025
1404,Thứ 4,10/09/2025,,"7,10,18,20,24,36",,07 10 18 20 24 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-09-2025.html,10/09/2025
1403,Chủ Nhật,07/09/2025,,"6,29,30,39,42,44",,06 29 30 39 42 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-09-2025.html,07/09/2025
1402,Thứ 6,05/09/2025,,"1,10,20,22,41,43",,01 10 20 22 41 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-09-2025.html,05/09/2025
1401,Thứ 4,03/09/2025,,"14,21,23,28,44,45",,14 21 23 28 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-09-2025.html,03/09/2025
1400,Chủ Nhật,31/08/2025,,"3,4,14,30,32,38",,03 04 14 30 32 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-08-2025.html,31/08/2025
1399,Thứ 6,29/08/2025,,"2,4,10,24,35,36",,02 04 10 24 35 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-08-2025.html,29/08/2025
1398,Thứ 4,27/08/2025,,"3,11,18,39,40,42",,03 11 18 39 40 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-08-2025.html,27/08/2025
1397,Chủ Nhật,24/08/2025,,"2,9,20,28,32,43",,02 09 20 28 32 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-08-2025.html,24/08/2025
1396,Thứ 6,22/08/2025,,"1,9,10,13,37,39",,01 09 10 13 37 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-08-2025.html,22/08/2025
1395,Thứ 4,20/08/2025,,"4,9,27,32,38,42",,04 09 27 32 38 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-08-2025.html,20/08/2025
1394,Chủ Nhật,17/08/2025,,"15,24,26,29,31,42",,15 24 26 29 31 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-08-2025.html,17/08/2025
1393,Thứ 6,15/08/2025,,"5,22,27,36,43,45",,05 22 27 36 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-08-2025.html,15/08/2025
1392,Thứ 4,13/08/2025,,"10,15,28,30,35,45",,10 15 28 30 35 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-08-2025.html,13/08/2025
1391,Chủ Nhật,10/08/2025,,"13,21,26,28,31,35",,13 21 26 28 31 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-08-2025.html,10/08/2025
1390,Thứ 6,08/08/2025,,"11,17,20,26,27,38",,11 17 20 26 27 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-08-2025.html,08/08/2025
1389,Thứ 4,06/08/2025,,"3,12,14,18,29,34",,03 12 14 18 29 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-08-2025.html,06/08/2025
1388,Chủ Nhật,03/08/2025,,"5,14,24,26,37,43",,05 14 24 26 37 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-08-2025.html,03/08/2025
1387,Thứ 6,01/08/2025,,"5,29,30,31,36,38",,05 29 30 31 36 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-08-2025.html,01/08/2025
1386,Thứ 4,30/07/2025,,"2,3,6,16,26,34",,02 03 06 16 26 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-07-2025.html,30/07/2025
1385,Chủ Nhật,27/07/2025,,"1,9,12,27,39,45",,01 09 12 27 39 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-07-2025.html,27/07/2025
1384,Thứ 6,25/07/2025,,"20,30,34,35,38,39",,20 30 34 35 38 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-07-2025.html,25/07/2025
1383,Thứ 4,23/07/2025,,"24,26,29,32,37,44",,24 26 29 32 37 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-07-2025.html,23/07/2025
1382,Chủ Nhật,20/07/2025,,"11,13,14,20,37,42",,11 13 14 20 37 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-07-2025.html,20/07/2025
1381,Thứ 6,18/07/2025,,"7,22,24,28,42,45",,07 22 24 28 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-07-2025.html,18/07/2025
1380,Thứ 4,16/07/2025,,"6,11,14,19,21,42",,06 11 14 19 21 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-07-2025.html,16/07/2025
1379,Chủ Nhật,13/07/2025,,"9,17,22,27,35,36",,09 17 22 27 35 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-07-2025.html,13/07/2025
1378,Thứ 6,11/07/2025,,"11,20,22,24,43,45",,11 20 22 24 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-07-2025.html,11/07/2025
1377,Thứ 4,09/07/2025,,"7,8,30,32,33,44",,07 08 30 32 33 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-09-07-2025.html,09/07/2025
1376,Chủ Nhật,06/07/2025,,"5,8,13,23,36,45",,05 08 13 23 36 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-07-2025.html,06/07/2025
1375,Thứ 6,04/07/2025,,"7,9,21,29,41,45",,07 09 21 29 41 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-07-2025.html,04/07/2025
1374,Thứ 4,02/07/2025,,"12,16,21,28,34,41",,12 16 21 28 34 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-02-07-2025.html,02/07/2025
1373,Chủ Nhật,29/06/2025,,"10,23,25,26,27,28",,10 23 25 26 27 28,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-06-2025.html,29/06/2025
1372,Thứ 6,27/06/2025,,"9,14,26,30,44,45",,09 14 26 30 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-06-2025.html,27/06/2025
1371,Thứ 4,25/06/2025,,"8,10,26,29,35,39",,08 10 26 29 35 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-06-2025.html,25/06/2025
1370,Chủ Nhật,22/06/2025,,"1,9,14,20,34,41",,01 09 14 20 34 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-06-2025.html,22/06/2025
1369,Thứ 6,20/06/2025,,"2,8,18,22,26,29",,02 08 18 22 26 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-06-2025.html,20/06/2025
1368,Thứ 4,18/06/2025,,"19,23,24,26,36,41",,19 23 24 26 36 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-06-2025.html,18/06/2025
1367,Chủ Nhật,15/06/2025,,"15,16,22,23,29,32",,15 16 22 23 29 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-06-2025.html,15/06/2025
1366,Thứ 6,13/06/2025,,"1,13,19,28,30,36",,01 13 19 28 30 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-06-2025.html,13/06/2025
1365,Thứ 4,11/06/2025,,"10,13,22,27,41,45",,10 13 22 27 41 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-06-2025.html,11/06/2025
1364,Chủ Nhật,08/06/2025,,"6,17,18,19,31,37",,06 17 18 19 31 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-06-2025.html,08/06/2025
1363,Thứ 6,06/06/2025,,"24,26,35,39,41,45",,24 26 35 39 41 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-06-2025.html,06/06/2025
1362,Thứ 4,04/06/2025,,"11,23,26,27,29,32",,11 23 26 27 29 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-06-2025.html,04/06/2025
1361,Chủ Nhật,01/06/2025,,"9,24,29,37,42,44",,09 24 29 37 42 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-06-2025.html,01/06/2025
1360,Thứ 6,30/05/2025,,"4,7,12,35,37,41",,04 07 12 35 37 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-05-2025.html,30/05/2025
1359,Thứ 4,28/05/2025,,"17,22,23,28,31,41",,17 22 23 28 31 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-05-2025.html,28/05/2025
